,Emotion,Precision,Recall,F1 Score,Support
0,angry,0.6294,0.4688,0.5373,192.0
1,calm,0.5590,0.4688,0.5099,192.0
2,disgust,0.4021,0.2031,0.2699,192.0
3,fearful,0.5652,0.1354,0.2185,192.0
4,happy,0.3509,0.1042,0.1606,192.0
5,neutral,0.2036,0.7083,0.3163,96.0
6,sad,0.5000,0.0885,0.1504,192.0
7,surprised,0.2570,0.7604,0.3842,192.0
