n_states,avg_logL,avg_F1,BIC
3,-341416.81615568936,0.31653348250993674,5463609.61687674
4,-338120.54842367634,0.3331329995159834,5411230.245103235
5,-335168.8722219603,0.3197268119152255,5364386.211265312
6,-333906.5366953202,0.3544755641689388,5344593.501679434
