,Emotion,Precision,Recall,F1 Score,Support
0,angry,0.0000,0.0000,0.0000,30.0
1,happy,0.0000,0.0000,0.0000,30.0
2,sad,0.0000,0.0000,0.0000,30.0
3,neutral,0.0000,0.0000,0.0000,30.0
